node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0050904	GO:0050900	biological_function	biological_function	diapedesis	leukocyte migration
GO:0050906	GO:0007600	biological_function	biological_function	detection of stimulus involved in sensory perception	sensory perception
GO:0050906	GO:0051606	biological_function	biological_function	detection of stimulus involved in sensory perception	detection of stimulus
GO:0050907	GO:0007606	biological_function	biological_function	detection of chemical stimulus involved in sensory perception	sensory perception of chemical stimulus
GO:0050907	GO:0009593	biological_function	biological_function	detection of chemical stimulus involved in sensory perception	detection of chemical stimulus
GO:0050907	GO:0050906	biological_function	biological_function	detection of chemical stimulus involved in sensory perception	detection of stimulus involved in sensory perception
GO:0050908	GO:0007601	biological_function	biological_function	detection of light stimulus involved in visual perception	visual perception
GO:0050908	GO:0050962	biological_function	biological_function	detection of light stimulus involved in visual perception	detection of light stimulus involved in sensory perception
GO:0050908	GO:0009584	biological_function	biological_function	detection of light stimulus involved in visual perception	detection of visible light
GO:0050962	GO:0050953	biological_function	biological_function	detection of light stimulus involved in sensory perception	sensory perception of light stimulus
GO:0050962	GO:0050906	biological_function	biological_function	detection of light stimulus involved in sensory perception	detection of stimulus involved in sensory perception
GO:0050962	GO:0009583	biological_function	biological_function	detection of light stimulus involved in sensory perception	detection of light stimulus
GO:0050909	GO:0007606	biological_function	biological_function	sensory perception of taste	sensory perception of chemical stimulus
GO:0050910	GO:0007605	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception of sound	sensory perception of sound
GO:0050910	GO:0050877	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception of sound	nervous system process
GO:0050910	GO:0050974	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception of sound	detection of mechanical stimulus involved in sensory perception
GO:0050974	GO:0050954	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception	sensory perception of mechanical stimulus
GO:0050974	GO:0050982	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception	detection of mechanical stimulus
GO:0050974	GO:0050906	biological_function	biological_function	detection of mechanical stimulus involved in sensory perception	detection of stimulus involved in sensory perception
GO:0050915	GO:0050909	biological_function	biological_function	sensory perception of sour taste	sensory perception of taste
GO:0050917	GO:0050909	biological_function	biological_function	sensory perception of umami taste	sensory perception of taste
GO:0050918	GO:0006935	biological_function	biological_function	positive chemotaxis	chemotaxis
GO:0050923	GO:0050919	biological_function	biological_function	regulation of negative chemotaxis	negative chemotaxis
GO:0050923	GO:0050920	biological_function	biological_function	regulation of negative chemotaxis	regulation of chemotaxis
GO:0050924	GO:0050919	biological_function	biological_function	positive regulation of negative chemotaxis	negative chemotaxis
GO:0050924	GO:0050921	biological_function	biological_function	positive regulation of negative chemotaxis	positive regulation of chemotaxis
GO:0050924	GO:0050923	biological_function	biological_function	positive regulation of negative chemotaxis	regulation of negative chemotaxis
GO:0050925	GO:0050919	biological_function	biological_function	negative regulation of negative chemotaxis	negative chemotaxis
GO:0050925	GO:0050922	biological_function	biological_function	negative regulation of negative chemotaxis	negative regulation of chemotaxis
GO:0050925	GO:0050923	biological_function	biological_function	negative regulation of negative chemotaxis	regulation of negative chemotaxis
GO:0050926	GO:0050918	biological_function	biological_function	regulation of positive chemotaxis	positive chemotaxis
GO:0050926	GO:0050920	biological_function	biological_function	regulation of positive chemotaxis	regulation of chemotaxis
GO:0050927	GO:0050918	biological_function	biological_function	positive regulation of positive chemotaxis	positive chemotaxis
GO:0050927	GO:0050921	biological_function	biological_function	positive regulation of positive chemotaxis	positive regulation of chemotaxis
GO:0050927	GO:0050926	biological_function	biological_function	positive regulation of positive chemotaxis	regulation of positive chemotaxis
GO:0050928	GO:0050918	biological_function	biological_function	negative regulation of positive chemotaxis	positive chemotaxis
GO:0050928	GO:0050922	biological_function	biological_function	negative regulation of positive chemotaxis	negative regulation of chemotaxis
GO:0050928	GO:0050926	biological_function	biological_function	negative regulation of positive chemotaxis	regulation of positive chemotaxis
GO:0050929	GO:0050924	biological_function	biological_function	induction of negative chemotaxis	positive regulation of negative chemotaxis
GO:0050930	GO:0050927	biological_function	biological_function	induction of positive chemotaxis	positive regulation of positive chemotaxis
GO:0050932	GO:0045595	biological_function	biological_function	regulation of pigment cell differentiation	regulation of cell differentiation
GO:0050932	GO:0048070	biological_function	biological_function	regulation of pigment cell differentiation	regulation of developmental pigmentation
GO:0050942	GO:0048087	biological_function	biological_function	positive regulation of pigment cell differentiation	positive regulation of developmental pigmentation
GO:0050942	GO:0050932	biological_function	biological_function	positive regulation of pigment cell differentiation	regulation of pigment cell differentiation
GO:0050942	GO:0045597	biological_function	biological_function	positive regulation of pigment cell differentiation	positive regulation of cell differentiation
GO:0050951	GO:0007600	biological_function	biological_function	sensory perception of temperature stimulus	sensory perception
GO:0050955	GO:0050951	biological_function	biological_function	thermoception	sensory perception of temperature stimulus
GO:0050957	GO:0050885	biological_function	biological_function	equilibrioception	neuromuscular process controlling balance
GO:0050957	GO:0007600	biological_function	biological_function	equilibrioception	sensory perception
GO:0050961	GO:0050951	biological_function	biological_function	detection of temperature stimulus involved in sensory perception	sensory perception of temperature stimulus
GO:0050961	GO:0050906	biological_function	biological_function	detection of temperature stimulus involved in sensory perception	detection of stimulus involved in sensory perception
GO:0050961	GO:0016048	biological_function	biological_function	detection of temperature stimulus involved in sensory perception	detection of temperature stimulus
